index,src,tar
4,청량하고,bold
5,와인,-
6,있어,-
1,시지않게,acidic
2,레드와인,category
3,와인,-
4,있을까,-
1,친구들이랑,-
2,마실건데,-
3,사십만대,-
4,화이트와인,category
5,와인,-
6,추천,-
1,화날,-
2,때,-
3,먹을,-
4,달달한,sweet
5,무겁고,bold
6,와인,-
7,있어,-
8,,-
1,산미있는,acidic
2,600000원보다,-
3,비싼,-
4,취하지,-
5,않게,-
6,기분만,-
7,낼,-
8,수,-
9,있는,-
10,와인,-
11,추천해줘,-
12,,-
1,시지않은거,acidic
2,와인,-
3,있으면,-
4,추천해줘,-
5,당도높은,sweet
6,,-
1,달달하지않은,sweet
2,만원,-
3,어치,-
4,의,-
5,와인,-
6,추천해줘,-
7,,-
1,라이트하며,bold
2,느낌을,-
3,주는,-
4,산미가살짝있는,acidic
5,맛이,-
6,괜찮은,-
7,와인,-
8,추천해줘,-
9,,-
1,기분을,-
2,달래줄,-
3,풀바디한,bold
4,느낌의,-
5,300000원쯤의,-
6,와인,-
7,추천해줘,-
8,,-
1,타닌이보통인,tannic
2,달게,sweet
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,탄닌감이낮은,tannic
2,9만원,-
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,떫지않으며,tannic
2,풀바디하고,bold
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,오그라드는,tannic
2,산미가보통인,acidic
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,달달한,sweet
2,맛에,-
3,무겁지않은,bold
4,느낌으로,-
5,세콤했으면,acidic
6,추천해줘,-
7,,-
1,와인,-
2,중에,-
3,달지않으며,sweet
4,상쾌한걸로,bold
5,느낌의,-
6,와인,-
7,추천해줘,-
8,200000원,-
9,,-
1,달짝지근하며,sweet
2,와인,-
3,중에,-
4,적당한산도의,acidic
5,2만원,-
6,어치,-
7,와인,-
8,추천해줘,-
9,,-
1,아주신,acidic
2,와인,-
3,중에서,-
4,6만원이하,-
5,추천,-
6,해줄래,-
7,바디감은,-
8,헤비,bold
9,,-
10,,-
1,레드와인,category
2,에,-
3,진하게,bold
4,느낌을,-
5,주는,-
6,달콤했으면,sweet
7,맛의,-
8,와인,-
9,,-
1,선물로,-
2,구매할,-
3,단맛않나는,sweet
4,와인,-
5,중에,-
6,시지않고,acidic
7,맛의,-
8,레드와인,category
9,와인,-
10,보여줘,-
1,30만원,-
2,넘어도,-
3,않단,sweet
4,맛,-
5,좀,-
6,내는,-
7,화이트와인,category
8,와인,-
1,안시며,acidic
2,와인으로,-
3,상쾌하게,bold
4,느낌을,-
5,주는,-
6,화이트와인,category
7,추천,-
1,싸우고,-
2,화해할,-
3,라이트하고,bold
4,느낌있는,-
5,40000원,-
6,어치,-
7,와인,-
8,레드와인,category
9,로,-
10,추천해줘,-
11,,-
1,화이트와인,category
2,와인,-
3,중에서,-
4,마실,-
5,때,-
6,산미있는,acidic
7,맛나는,-
8,8만원,-
9,이하,-
10,와인,-
1,달콤,sweet
2,맛에,-
3,묵직하고,bold
4,느낌으로,-
5,오그라드는,tannic
6,추천해줘,-
7,,-
1,안단,sweet
2,맛에,-
3,덜쓰고,tannic
4,느낌으로,-
5,상큼한걸로,acidic
6,추천해줘,-
7,,-
1,달콤한거,sweet
2,맛에,-
3,오십만원쯤의,-
4,느낌으로,-
5,적당히쓴,tannic
6,추천해줘,-
7,,-
1,쌉싸래하고,tannic
2,맛에,-
3,풀바디로,bold
4,느낌으로,-
5,산미있는,acidic
6,추천해줘,-
7,,-
1,가벼웠으면,bold
2,맛에,-
3,떨떠름,tannic
4,느낌으로,-
5,600000원이하,-
6,추천해줘,-
7,,-
1,새콤하고,acidic
2,맛에,-
3,안떫고,tannic
4,느낌으로,-
5,90000원쯤,-
6,추천해줘,-
7,,-
1,많이단,sweet
2,안무거운거로,bold
3,느낌,-
4,있는,-
5,상큼,acidic
6,레드와인,category
7,와인,-
8,있을까,-
1,달콤한거로,sweet
2,마실,-
3,때,-
4,무겁지않게,bold
5,느낌,-
6,주는,-
7,9만원,-
8,어치,-
9,의,-
10,화이트와인,category
11,와인,-
12,추천,-
13,부탁해,-
1,당도높은,sweet
2,화이트와인,category
3,와인인데,-
4,조금시큼한거로,acidic
5,150000정도의,-
6,와인,-
7,추천해줘,-
1,와인,-
2,잘,-
3,모르는데,-
4,산미있는,acidic
5,레드와인,category
6,와인으로,-
7,중후한,bold
8,60만원,-
9,어치,-
10,추천해줘,-
1,간단하게,-
2,마실,-
3,안달,sweet
4,목,-
5,넘김은,-
6,풀바디로,bold
7,느낌으로,-
8,시었으면,acidic
9,50만원쯤,-
10,와인,-
11,추천해줘,-
12,,-
1,스위트로단맛안나는,sweet
2,상쾌한거,bold
3,느낌,-
4,있는,-
5,안신거로,acidic
6,쓴,tannic
7,와인,-
8,있을까,-
1,달콤한거,sweet
2,청량하고,bold
3,느낌,-
4,있는,-
5,쌉쓰름하고,tannic
6,50000원쯤,-
7,와인,-
8,있을까,-
1,많이달지않은,sweet
2,떫지않은거,tannic
3,느낌,-
4,있는,-
5,시큼했으면,acidic
6,2만원대,-
7,와인,-
8,있을까,-
1,떨떠름하지않은,tannic
2,끈적한무겁지만,bold
3,느낌,-
4,있는,-
5,안시게,acidic
6,십오만원보다,-
7,비싼,-
8,와인,-
9,있을까,-
1,상큼한거,acidic
2,화이트와인,category
3,와인으로,-
4,당도는,-
5,달콤했으면,sweet
6,바디감은,-
7,부드러운,bold
8,추천해줘,-
9,가격은,-
10,500000원쯤,-
11,,-
1,신맛이보통인,acidic
2,오그라드는,tannic
3,느낌의,-
4,당도는,-
5,당도가있는,sweet
6,바디감은,-
7,풀이였으면,bold
8,추천해줘,-
9,가격은,-
10,70000원이하,-
11,,-
1,아무,-
2,포도주나,-
3,추천해줘,-
1,화이트와인,category
2,와인,-
3,추천해줘,-
1,덜단맛,sweet
2,분위기,-
3,좋은,-
4,와인,-
5,추천해줘,-
1,와인,-
2,처음,-
3,먹어보는데,-
4,라이트한거,bold
5,느낌있는,-
6,걸로,-
7,추천,-
8,해줄래,-
1,저녁에,-
2,마실,-
3,신맛이보통인,acidic
4,와인이,-
5,있을까,-
1,파티할,-
2,때,-
3,마실,-
4,10000원대,-
5,와인,-
6,좀,-
7,추천해줘,-
1,쌉쌀한,tannic
2,와인,-
3,추천해줘,-
1,스위트한거로,sweet
2,와인,-
3,추천해줘,-
4,종류는,-
5,레드와인,category
6,,-
1,화이트와인,category
2,와인,-
3,중에,-
4,해비하며,bold
5,와인,-
6,있어,-
1,시었으면,acidic
2,레드와인,category
3,와인,-
4,있을까,-
1,친구들이랑,-
2,마실건데,-
3,200000원보다,-
4,비싼,-
5,화이트와인,category
6,와인,-
7,추천,-
1,화날,-
2,때,-
3,먹을,-
4,드라이한,sweet
5,청량한거로,bold
6,와인,-
7,있어,-
8,,-
1,시지않은거로,acidic
2,70000원보다,-
3,낮은,-
4,취하지,-
5,않게,-
6,기분만,-
7,낼,-
8,수,-
9,있는,-
10,와인,-
11,추천해줘,-
12,,-
1,세콤했으면,acidic
2,와인,-
3,있으면,-
4,추천해줘,-
5,당도가높은,sweet
6,,-
1,달달하지않은걸로,sweet
2,10만원,-
3,넘어도,-
4,의,-
5,와인,-
6,추천해줘,-
7,,-
1,해비하며,bold
2,느낌을,-
3,주는,-
4,산미가조금있는,acidic
5,맛이,-
6,괜찮은,-
7,와인,-
8,추천해줘,-
9,,-
1,기분을,-
2,달래줄,-
3,무겁지않으며,bold
4,느낌의,-
5,60만원,-
6,이하,-
7,와인,-
8,추천해줘,-
9,,-
1,매끄러운,tannic
2,달지않은,sweet
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,쌉싸름하고,tannic
2,300000원보다,-
3,저렴한,-
4,의,-
5,와인,-
6,추천해줘,-
7,,-
1,스파이시가강한,tannic
2,헤비했으면,bold
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,떨떠름,tannic
2,시지않았으면,acidic
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,달지않은,sweet
2,맛에,-
3,라이트한,bold
4,느낌으로,-
5,상큼하게,acidic
6,추천해줘,-
7,,-
1,와인,-
2,중에,-
3,안달달했으면,sweet
4,상쾌한걸로,bold
5,느낌의,-
6,와인,-
7,추천해줘,-
8,십만원,-
9,,-
1,스위트하고,sweet
2,와인,-
3,중에,-
4,새콤한걸로,acidic
5,구만원,-
6,이하,-
7,와인,-
8,추천해줘,-
9,,-
1,안신걸로,acidic
2,와인,-
3,중에서,-
4,10만원,-
5,넘어도,-
6,추천,-
7,해줄래,-
8,바디감은,-
9,적당한무게,bold
10,,-
11,,-
1,화이트와인,category
2,에,-
3,끈적하며,bold
4,느낌을,-
5,주는,-
6,단게,sweet
7,맛의,-
8,와인,-
9,,-
1,선물로,-
2,구매할,-
3,안달며,sweet
4,와인,-
5,중에,-
6,시지않게,acidic
7,맛의,-
8,레드와인,category
9,와인,-
10,보여줘,-
1,60000원대,-
2,달콤하게,sweet
3,맛,-
4,좀,-
5,내는,-
6,화이트와인,category
7,와인,-
1,신맛이보통인,acidic
2,와인으로,-
3,무거우며,bold
4,느낌을,-
5,주는,-
6,레드와인,category
7,추천,-
1,싸우고,-
2,화해할,-
3,풀하고,bold
4,느낌있는,-
5,만원보다,-
6,비싼,-
7,와인,-
8,화이트와인,category
9,로,-
10,추천해줘,-
11,,-
1,화이트와인,category
2,와인,-
3,중에서,-
4,마실,-
5,때,-
6,산미가있는,acidic
7,맛나는,-
8,구만원보다,-
9,낮은,-
10,와인,-
1,달지않고,sweet
2,맛에,-
3,청량한거로,bold
4,느낌으로,-
5,타닌감높은,tannic
6,추천해줘,-
7,,-
1,달콤했으면,sweet
2,맛에,-
3,스무스한,tannic
4,느낌으로,-
5,시지않은,acidic
6,추천해줘,-
7,,-
1,달달하지않게,sweet
2,맛에,-
3,60000대,-
4,느낌으로,-
5,타닌감높은,tannic
6,추천해줘,-
7,,-
1,덜쓴거,tannic
2,맛에,-
3,라이트하고,bold
4,느낌으로,-
5,시지않은걸로,acidic
6,추천해줘,-
7,,-
1,부드러운,bold
2,맛에,-
3,타닌감높은,tannic
4,느낌으로,-
5,50000원보다,-
6,낮은,-
7,추천해줘,-
8,,-
1,안시며,acidic
2,맛에,-
3,타닌이강한,tannic
4,느낌으로,-
5,2만원대의,-
6,추천해줘,-
7,,-
1,달지안은,sweet
2,가벼운,bold
3,느낌,-
4,있는,-
5,산미가강한,acidic
6,레드와인,category
7,와인,-
8,있을까,-
1,덜단거로,sweet
2,마실,-
3,때,-
4,헤비,bold
5,느낌,-
6,주는,-
7,육십만대,-
8,의,-
9,레드와인,category
10,와인,-
11,추천,-
12,부탁해,-
1,안단맛,sweet
2,화이트와인,category
3,와인인데,-
4,산미가조금있는,acidic
5,60만정도의,-
6,와인,-
7,추천해줘,-
1,와인,-
2,잘,-
3,모르는데,-
4,산미가살짝있는,acidic
5,레드와인,category
6,와인으로,-
7,가볍지않은거,bold
8,30만보다,-
9,저렴한,-
10,추천해줘,-
1,간단하게,-
2,마실,-
3,달지않은거로,sweet
4,목,-
5,넘김은,-
6,견고한,bold
7,느낌으로,-
8,조금신,acidic
9,150000정도의,-
10,와인,-
11,추천해줘,-
12,,-
1,단맛않나는,sweet
2,중후한,bold
3,느낌,-
4,있는,-
5,산미있는,acidic
6,탄닌감이낮은,tannic
7,와인,-
8,있을까,-
1,드라이한거,sweet
2,바디감이높은,bold
3,느낌,-
4,있는,-
5,떫지않았으면,tannic
6,9만원,-
7,어치,-
8,와인,-
9,있을까,-
1,적당히단,sweet
2,쌉싸름하고,tannic
3,느낌,-
4,있는,-
5,산미가살짝있는,acidic
6,구만원,-
7,와인,-
8,있을까,-
1,탄닌이있는,tannic
2,무겁지않은,bold
3,느낌,-
4,있는,-
5,시며,acidic
6,15만원보다,-
7,낮은,-
8,와인,-
9,있을까,-
1,안신걸로,acidic
2,레드와인,category
3,와인으로,-
4,당도는,-
5,달짝지근했으면,sweet
6,바디감은,-
7,라이트한,bold
8,추천해줘,-
9,가격은,-
10,60만이하,-
11,,-
1,안시게,acidic
2,적당히타닌,tannic
3,느낌의,-
4,당도는,-
5,달며,sweet
6,바디감은,-
7,라이트한걸로,bold
8,추천해줘,-
9,가격은,-
10,칠만원,-
11,어치,-
12,,-
1,맛있는,-
2,와인,-
3,추천해줘,-
1,레드와인,category
2,와인,-
3,추천해줘,-
1,달고,sweet
2,분위기,-
3,좋은,-
4,와인,-
5,추천해줘,-
1,와인,-
2,처음,-
3,먹어보는데,-
4,미디엄,bold
5,느낌있는,-
6,걸로,-
7,추천,-
8,해줄래,-
1,저녁에,-
2,마실,-
3,조금신,acidic
4,와인이,-
5,있을까,-
1,파티할,-
2,때,-
3,마실,-
4,만원,-
5,어치,-
6,와인,-
7,좀,-
8,추천해줘,-
1,타닌감이낮은,tannic
2,와인,-
3,추천해줘,-
1,달달하고,sweet
2,와인,-
3,추천해줘,-
4,종류는,-
5,레드와인,category
6,,-
1,화이트와인,category
2,와인,-
3,중에,-
4,라이트한거로,bold
5,와인,-
6,있어,-
1,신거,acidic
2,레드와인,category
3,와인,-
4,있을까,-
1,친구들이랑,-
2,마실건데,-
3,50000원보다,-
4,비싼,-
5,레드와인,category
6,와인,-
7,추천,-
1,화날,-
2,때,-
3,먹을,-
4,달콤한,sweet
5,청량하며,bold
6,와인,-
7,있어,-
8,,-
1,상큼한거,acidic
2,40만원보다,-
3,낮은,-
4,취하지,-
5,않게,-
6,기분만,-
7,낼,-
8,수,-
9,있는,-
10,와인,-
11,추천해줘,-
12,,-
1,안시었으면,acidic
2,와인,-
3,있으면,-
4,추천해줘,-
5,덜단맛,sweet
6,,-
1,달달한거,sweet
2,칠만대의,-
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,라이트했으면,bold
2,느낌을,-
3,주는,-
4,새콤한거,acidic
5,맛이,-
6,괜찮은,-
7,와인,-
8,추천해줘,-
9,,-
1,기분을,-
2,달래줄,-
3,상쾌했으면,bold
4,느낌의,-
5,500000원,-
6,넘어도,-
7,와인,-
8,추천해줘,-
9,,-
1,타닌감이낮은,tannic
2,스위트한,sweet
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,쌉쓰름하고,tannic
2,300000원쯤,-
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,타닌감높은,tannic
2,가벼운거로,bold
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,부드럽게넘어가는,tannic
2,새콤한거,acidic
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,달지않은,sweet
2,맛에,-
3,청량하며,bold
4,느낌으로,-
5,산미낮은,acidic
6,추천해줘,-
7,,-
1,와인,-
2,중에,-
3,단거로,sweet
4,살짝가벼운,bold
5,느낌의,-
6,와인,-
7,추천해줘,-
8,십오만원이하,-
9,,-
1,않단,sweet
2,와인,-
3,중에,-
4,조금시큼하게,acidic
5,8만원보다,-
6,저렴한,-
7,와인,-
8,추천해줘,-
9,,-
1,덜신걸로,acidic
2,와인,-
3,중에서,-
4,15만대,-
5,추천,-
6,해줄래,-
7,바디감은,-
8,무겁지않은거로,bold
9,,-
10,,-
1,화이트와인,category
2,에,-
3,무겁지않으며,bold
4,느낌을,-
5,주는,-
6,달짝지근한걸로,sweet
7,맛의,-
8,와인,-
9,,-
1,선물로,-
2,구매할,-
3,않단,sweet
4,와인,-
5,중에,-
6,조금시큼하며,acidic
7,맛의,-
8,화이트와인,category
9,와인,-
10,보여줘,-
1,60만원보다,-
2,저렴한,-
3,단거,sweet
4,맛,-
5,좀,-
6,내는,-
7,레드와인,category
8,와인,-
1,산미가없는,acidic
2,와인으로,-
3,묵직,bold
4,느낌을,-
5,주는,-
6,레드와인,category
7,추천,-
1,싸우고,-
2,화해할,-
3,바디감이있는,bold
4,느낌있는,-
5,이만대,-
6,와인,-
7,화이트와인,category
8,로,-
9,추천해줘,-
10,,-
1,레드와인,category
2,와인,-
3,중에서,-
4,마실,-
5,때,-
6,산도가있는,acidic
7,맛나는,-
8,3만원,-
9,넘어도,-
10,와인,-
1,달지않은,sweet
2,맛에,-
3,가볍지않은,bold
4,느낌으로,-
5,타닌이보통인,tannic
6,추천해줘,-
7,,-
1,드라이,sweet
2,맛에,-
3,부드럽게넘어가는,tannic
4,느낌으로,-
5,조금시큼,acidic
6,추천해줘,-
7,,-
1,들척지근한,sweet
2,맛에,-
3,20만원,-
4,넘어도,-
5,느낌으로,-
6,오그라드는,tannic
7,추천해줘,-
8,,-
1,떨떠름,tannic
2,맛에,-
3,안무거운,bold
4,느낌으로,-
5,산도가적당함,acidic
6,추천해줘,-
7,,-
1,끈적한무겁지만,bold
2,맛에,-
3,타닌강한,tannic
4,느낌으로,-
5,만원쯤,-
6,추천해줘,-
7,,-
1,시큼한거,acidic
2,맛에,-
3,씁쓸하고,tannic
4,느낌으로,-
5,삼만대의,-
6,추천해줘,-
7,,-
1,안달달한거로,sweet
2,무겁지않은,bold
3,느낌,-
4,있는,-
5,산미가보통인,acidic
6,레드와인,category
7,와인,-
8,있을까,-
1,안달달한거로,sweet
2,마실,-
3,때,-
4,바디감이있는,bold
5,느낌,-
6,주는,-
7,40000원쯤의,-
8,의,-
9,화이트와인,category
10,와인,-
11,추천,-
12,부탁해,-
1,덜단것으로,sweet
2,화이트와인,category
3,와인인데,-
4,덜신걸로,acidic
5,60000원,-
6,어치,-
7,와인,-
8,추천해줘,-
1,와인,-
2,잘,-
3,모르는데,-
4,시지않은거로,acidic
5,레드와인,category
6,와인으로,-
7,묵직,bold
8,육만원쯤의,-
9,추천해줘,-
1,간단하게,-
2,마실,-
3,달달하지않은거로,sweet
4,목,-
5,넘김은,-
6,가벼운거,bold
7,느낌으로,-
8,시지않고,acidic
9,70000원,-
10,와인,-
11,추천해줘,-
12,,-
1,덜달달한,sweet
2,무거우며,bold
3,느낌,-
4,있는,-
5,시지않은거로,acidic
6,부드럽지않은,tannic
7,와인,-
8,있을까,-
1,당도높은,sweet
2,상쾌,bold
3,느낌,-
4,있는,-
5,탄닌감이낮은,tannic
6,2만원보다,-
7,저렴한,-
8,와인,-
9,있을까,-
1,달짝지근했으면,sweet
2,거칠지않은,tannic
3,느낌,-
4,있는,-
5,산미가살짝있는,acidic
6,이만정도의,-
7,와인,-
8,있을까,-
1,쓴,tannic
2,가벼운거,bold
3,느낌,-
4,있는,-
5,산미없는,acidic
6,100000대,-
7,와인,-
8,있을까,-
1,조금시큼하고,acidic
2,레드와인,category
3,와인으로,-
4,당도는,-
5,보통닷맛,sweet
6,바디감은,-
7,무겁지않으며,bold
8,추천해줘,-
9,가격은,-
10,이만대의,-
11,,-
1,상큼하고,acidic
2,쓰지않고,tannic
3,느낌의,-
4,당도는,-
5,단걸로,sweet
6,바디감은,-
7,안무거운,bold
8,추천해줘,-
9,가격은,-
10,200000보다,-
11,저렴한,-
12,,-
1,포도주,-
2,추천해줘,-
1,화이트와인,category
2,와인,-
3,추천해줘,-
1,당도가높지않은,sweet
2,분위기,-
3,좋은,-
4,와인,-
5,추천해줘,-
1,와인,-
2,처음,-
3,먹어보는데,-
4,해비하게,bold
5,느낌있는,-
6,걸로,-
7,추천,-
8,해줄래,-
1,저녁에,-
2,마실,-
3,신맛이없는,acidic
4,와인이,-
5,있을까,-
1,파티할,-
2,때,-
3,마실,-
4,삼십만원이하,-
5,와인,-
6,좀,-
7,추천해줘,-
1,탄닌이보통인,tannic
2,와인,-
3,추천해줘,-
1,드라이한걸로,sweet
2,와인,-
3,추천해줘,-
4,종류는,-
5,화이트와인,category
6,,-
1,화이트와인,category
2,와인,-
3,중에,-
4,안무겁게,bold
5,와인,-
6,있어,-
1,새콤하게,acidic
2,레드와인,category
3,와인,-
4,있을까,-
1,친구들이랑,-
2,마실건데,-
3,만원대의,-
4,레드와인,category
5,와인,-
6,추천,-
1,화날,-
2,때,-
3,먹을,-
4,안달달하고,sweet
5,끈적,bold
6,와인,-
7,있어,-
8,,-
1,산미가살짝있는,acidic
2,팔만원,-
3,어치,-
4,취하지,-
5,않게,-
6,기분만,-
7,낼,-
8,수,-
9,있는,-
10,와인,-
11,추천해줘,-
12,,-
1,산도없는,acidic
2,와인,-
3,있으면,-
4,추천해줘,-
5,스위트한거로,sweet
6,,-
1,적당히단,sweet
2,20만원쯤,-
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,해비하게,bold
2,느낌을,-
3,주는,-
4,신맛,acidic
5,맛이,-
6,괜찮은,-
7,와인,-
8,추천해줘,-
9,,-
1,기분을,-
2,달래줄,-
